tv_channel,city,tvviewers,start_time,end_time,event_number,weekday
7mate Ade,Adelaide,23,14:15,14:29,3,6
7mate Ade,Adelaide,23,13:45,13:59,3,7
7mate Ade,Adelaide,7,11:45,11:59,4,6
7mate Ade,Adelaide,10,12:15,12:29,4,7
7mate Ade,Adelaide,22,14:45,14:59,5,7
7mate Ade,Adelaide,21,16:30,16:44,9,6
7mate Ade,Adelaide,23,14:45,14:59,2,7
7mate Ade,Adelaide,20,16:15,16:29,8,7
7mate Ade,Adelaide,4,10:30,10:44,4,5
7mate Ade,Adelaide,17,12:45,12:59,4,6
7mate Ade,Adelaide,12,18:30,18:44,1,6
7mate Ade,Adelaide,27,14:30,14:44,2,6
7mate Ade,Adelaide,24,16:45,16:59,9,6
7mate Ade,Adelaide,14,15:15,15:29,9,6
7mate Ade,Adelaide,29,16:45,16:59,3,6
7mate Ade,Adelaide,18,15:00,15:14,6,7
7mate Ade,Adelaide,26,14:30,14:44,7,7
7mate Ade,Adelaide,26,17:15,17:29,9,7
7mate Ade,Adelaide,35,15:00,15:14,3,7
7mate Ade,Adelaide,30,17:00,17:14,3,6
7mate Ade,Adelaide,19,15:00,15:14,2,6
7mate Ade,Adelaide,16,15:30,15:44,8,7
7mate Ade,Adelaide,26,16:00,16:14,2,6
7mate Ade,Adelaide,26,14:30,14:44,4,6
7mate Ade,Adelaide,10,14:00,14:14,6,6
7mate Ade,Adelaide,15,15:45,15:59,7,6
7mate Ade,Adelaide,14,14:15,14:29,6,6
7mate Ade,Adelaide,22,15:30,15:44,2,7
7mate Ade,Adelaide,19,13:45,13:59,7,6
7mate Ade,Adelaide,11,13:15,13:29,9,6
7mate Ade,Adelaide,24,16:45,16:59,7,6
7mate Ade,Adelaide,24,15:00,15:14,3,6
7mate Ade,Adelaide,24,15:30,15:44,7,7
7mate Ade,Adelaide,29,15:15,15:29,9,7
7mate Ade,Adelaide,23,15:45,15:59,2,6
7mate Ade,Adelaide,25,16:30,16:44,2,6
7mate Ade,Adelaide,35,16:00,16:14,7,7
7mate Ade,Adelaide,18,14:45,14:59,9,6
7mate Ade,Adelaide,22,16:30,16:44,8,7
7mate Ade,Adelaide,15,13:45,13:59,8,6
7mate Ade,Adelaide,41,16:30,16:44,7,7
7mate Ade,Adelaide,46,17:00,17:14,3,7
7mate Ade,Adelaide,28,16:15,16:29,2,6
7mate Ade,Adelaide,9,12:30,12:44,3,6
7mate Ade,Adelaide,23,17:30,17:44,7,6
7mate Ade,Adelaide,19,14:45,14:59,5,6
7mate Ade,Adelaide,16,17:15,17:29,8,6
7mate Ade,Adelaide,20,15:00,15:14,7,6
7mate Ade,Adelaide,10,13:30,13:44,5,6
7mate Ade,Adelaide,17,14:00,14:14,6,7
7mate Ade,Adelaide,25,14:00,14:14,4,6
7mate Ade,Adelaide,16,13:00,13:14,4,7
7mate Ade,Adelaide,34,16:45,16:59,6,7
7mate Ade,Adelaide,13,18:00,18:14,12,6
7mate Ade,Adelaide,31,14:45,14:59,3,7
7mate Ade,Adelaide,22,12:45,12:59,1,7
7mate Ade,Adelaide,12,16:45,16:59,6,6
7mate Ade,Adelaide,11,16:15,16:29,6,6
7mate Ade,Adelaide,12,12:00,12:14,1,7
7mate Ade,Adelaide,18,15:15,15:29,7,6
7mate Ade,Adelaide,19,14:45,14:59,9,7
7mate Ade,Adelaide,21,13:30,13:44,4,6
7mate Ade,Adelaide,15,13:45,13:59,5,7
7mate Ade,Adelaide,23,14:45,14:59,8,6
7mate Ade,Adelaide,20,15:30,15:44,3,6
7mate Ade,Adelaide,32,16:00,16:14,5,7
7mate Ade,Adelaide,18,16:45,16:59,8,6
7mate Ade,Adelaide,19,16:30,16:44,8,6
7mate Ade,Adelaide,5,11:00,11:14,4,6
7mate Ade,Adelaide,12,13:00,13:14,9,6
7mate Ade,Adelaide,29,16:45,16:59,5,7
7mate Ade,Adelaide,19,15:45,15:59,8,6
7mate Ade,Adelaide,18,14:30,14:44,4,7
7mate Ade,Adelaide,13,15:15,15:29,6,6
7mate Ade,Adelaide,14,14:00,14:14,9,6
7mate Ade,Adelaide,27,17:15,17:29,3,6
7mate Ade,Adelaide,19,14:45,14:59,6,7
7mate Ade,Adelaide,23,14:45,14:59,2,6
7mate Ade,Adelaide,10,15:45,15:59,6,6
7mate Ade,Adelaide,25,14:30,14:44,3,6
7mate Ade,Adelaide,10,12:45,12:59,9,6
7mate Ade,Adelaide,29,17:00,17:14,7,6
7mate Ade,Adelaide,34,16:45,16:59,7,7
7mate Ade,Adelaide,14,15:30,15:44,7,6
7mate Ade,Adelaide,29,16:15,16:29,2,7
7mate Ade,Adelaide,20,13:45,13:59,4,6
7mate Ade,Adelaide,10,14:45,14:59,4,7
7mate Ade,Adelaide,28,14:15,14:29,2,6
7mate Ade,Adelaide,8,11:00,11:14,4,5
7mate Ade,Adelaide,24,14:30,14:44,1,6
7mate Ade,Adelaide,15,16:30,16:44,7,6
7mate Ade,Adelaide,7,15:45,15:59,9,6
7mate Ade,Adelaide,19,12:00,12:14,4,5
7mate Ade,Adelaide,17,14:15,14:29,8,6
7mate Ade,Adelaide,7,12:15,12:29,3,6
7mate Ade,Adelaide,14,16:00,16:14,7,6
7mate Ade,Adelaide,4,18:30,18:44,12,6
7mate Ade,Adelaide,15,15:15,15:29,5,6
7mate Ade,Adelaide,29,17:00,17:14,9,6
7mate Ade,Adelaide,21,15:15,15:29,2,7
7mate Ade,Adelaide,10,16:00,16:14,5,6
7mate Ade,Adelaide,23,15:45,15:59,2,7
7mate Ade,Adelaide,9,11:15,11:29,4,5
7mate Ade,Adelaide,12,12:30,12:44,4,6
7mate Ade,Adelaide,11,12:30,12:44,4,7
7mate Ade,Adelaide,17,15:15,15:29,6,7
7mate Ade,Adelaide,16,15:30,15:44,5,6
7mate Ade,Adelaide,46,15:45,15:59,3,7
7mate Ade,Adelaide,15,14:00,14:14,5,6
7mate Ade,Adelaide,8,11:30,11:44,4,6
7mate Ade,Adelaide,19,12:30,12:44,1,7
7mate Ade,Adelaide,18,15:30,15:44,6,7
7mate Ade,Adelaide,14,12:15,12:29,4,6
7mate Ade,Adelaide,11,16:15,16:29,9,6
7mate Ade,Adelaide,20,15:30,15:44,8,6
7mate Ade,Adelaide,18,13:00,13:14,1,7
7mate Ade,Adelaide,30,18:00,18:14,1,7
7mate Ade,Adelaide,17,15:15,15:29,8,6
7mate Ade,Adelaide,15,14:00,14:14,7,6
7mate Ade,Adelaide,12,15:45,15:59,5,6
7mate Ade,Adelaide,25,17:00,17:14,2,6
7mate Ade,Adelaide,23,15:00,15:14,9,6
7mate Ade,Adelaide,22,12:15,12:29,4,5
7mate Ade,Adelaide,29,14:45,14:59,3,6
7mate Ade,Adelaide,24,17:15,17:29,2,6
7mate Ade,Adelaide,32,15:45,15:59,9,7
7mate Ade,Adelaide,11,13:45,13:59,9,6
7mate Ade,Adelaide,24,17:15,17:29,3,7
7mate Ade,Adelaide,22,16:00,16:14,3,6
7mate Ade,Adelaide,32,17:45,17:59,7,7
7mate Ade,Adelaide,15,11:45,11:59,4,5
7mate Ade,Adelaide,15,16:15,16:29,5,6
7mate Ade,Adelaide,8,16:00,16:14,9,6
7mate Ade,Adelaide,16,12:30,12:44,4,7
7mate Ade,Adelaide,37,16:45,16:59,3,7
7mate Ade,Adelaide,18,13:15,13:29,4,7
7mate Ade,Adelaide,26,18:15,18:29,1,7
7mate Ade,Adelaide,9,11:30,11:44,4,5
7mate Ade,Adelaide,16,16:00,16:14,8,6
7mate Ade,Adelaide,21,14:30,14:44,9,6
7mate Ade,Adelaide,27,15:45,15:59,7,7
7mate Ade,Adelaide,14,13:00,13:14,4,6
7mate Ade,Adelaide,27,14:30,14:44,3,7
7mate Ade,Adelaide,34,17:15,17:29,7,7
7mate Ade,Adelaide,18,13:45,13:59,3,6
7mate Ade,Adelaide,27,14:15,14:29,4,7
7mate Ade,Adelaide,29,17:15,17:29,9,6
7mate Ade,Adelaide,24,15:00,15:14,9,7
7mate Ade,Adelaide,22,15:00,15:14,5,7
7mate Ade,Adelaide,23,14:45,14:59,4,6
7mate Ade,Adelaide,20,14:15,14:29,5,6
7mate Ade,Adelaide,28,16:15,16:29,9,7
7mate Ade,Adelaide,30,16:00,16:14,9,7
7mate Ade,Adelaide,26,15:30,15:44,9,7
7mate Ade,Adelaide,29,15:00,15:14,1,6
7mate Ade,Adelaide,16,18:45,18:59,1,6
7mate Ade,Adelaide,34,16:00,16:14,6,7
7mate Ade,Adelaide,33,16:30,16:44,2,7
7mate Ade,Adelaide,15,13:30,13:44,7,6
7mate Ade,Adelaide,22,14:30,14:44,8,6
7mate Ade,Adelaide,20,16:45,16:59,8,7
7mate Ade,Adelaide,22,14:45,14:59,7,7
7mate Ade,Adelaide,17,14:00,14:14,8,6
7mate Ade,Adelaide,16,17:00,17:14,6,6
7mate Ade,Adelaide,22,17:00,17:14,8,6
7mate Ade,Adelaide,21,13:45,13:59,4,7
7mate Ade,Adelaide,26,16:15,16:29,3,6
7mate Ade,Adelaide,44,15:30,15:44,3,7
7mate Ade,Adelaide,6,11:15,11:29,4,6
7mate Ade,Adelaide,11,18:15,18:29,12,6
7mate Ade,Adelaide,46,16:00,16:14,3,7
7mate Ade,Adelaide,19,13:15,13:29,4,6
7mate Ade,Adelaide,10,17:15,17:29,5,6
7mate Ade,Adelaide,31,16:15,16:29,6,7
7mate Ade,Adelaide,19,16:30,16:44,5,6
7mate Ade,Adelaide,18,17:00,17:14,5,6
7mate Ade,Adelaide,9,13:30,13:44,8,6
7mate Ade,Adelaide,22,15:15,15:29,3,6
7mate Ade,Adelaide,18,14:15,14:29,5,7
7mate Ade,Adelaide,12,14:30,14:44,6,6
7mate Ade,Adelaide,7,10:45,10:59,4,5
7mate Ade,Adelaide,15,17:15,17:29,8,7
7mate Ade,Adelaide,13,14:00,14:14,1,6
7mate Ade,Adelaide,25,14:00,14:14,2,6
7mate Ade,Adelaide,22,17:45,17:59,7,6
7mate Ade,Adelaide,20,15:45,15:59,3,6
7mate Ade,Adelaide,34,17:00,17:14,2,7
7mate Ade,Adelaide,3,10:15,10:29,4,5
7mate Ade,Adelaide,15,12:00,12:14,4,7
7mate Ade,Adelaide,26,16:00,16:14,2,7
7mate Ade,Adelaide,41,16:30,16:44,3,7
7mate Ade,Adelaide,16,14:30,14:44,6,7
7mate Ade,Adelaide,12,12:00,12:14,4,6
7mate Ade,Adelaide,6,16:00,16:14,6,6
7mate Ade,Adelaide,13,13:45,13:59,5,6
7mate Ade,Adelaide,21,14:30,14:44,9,7
7mate Ade,Adelaide,18,14:30,14:44,5,7
7mate Ade,Adelaide,14,15:30,15:44,6,6
